 arrow-of-apollo, Apollo
 Marcus_Aurelius103, Marcus103
 KasiBittinen, KasiBittinen
 Big0, Luggnut
 GrayFoxRU, Gray Fox
 MasterMouss, CoolBreeze
 mewilly, mewilly
 Jendai, Jendai
 Yrfan, Yrfan
 YoungCalf, YoungCalf
 RundownNL, RundownNL
 Kasyade, Jack Ketch
 Resurrection, N?N?
 Wasabi_Wei, Wasabi_Wei
 Squiguken, Squiguken
 Jargkano, Jargkan10
 gusulia, Gusulis
 bubbanator79, bubbanator79
 Dzell, Dzell
 GodricLatura, Godric Latura
 RemyGreen, RemyGreen
 Tonzzo, [ACESHIGH] Tonzzo
 HepatitisBob, TingleTangle
 VividEquinox, Vivid_Equinox
 Nobbynose, Nobbynose
 immune, immune
 Redharbinger, Redharbinger
 RedWitch4, RedWitch4
 diraM, Gen
 Astron_Physis, Astron Physis
 Akirakira, Akira
 DivineHoliness, DivineHoliness
 Jaydoge, jaydoge
 Orionpewpew, Orionpewpew
 Alaziel, Alaziel
 GrissaOstDrauka, GrissaOstDrauka
 Gedi9000, Gedi9000
 Boning, Steve_Boning
 The_Rorschach, The_Rorschach
 JMoli, JMoli
 Trollbiscuits, tyler.sklein
 ivanf, Ivan
 Avispa998, Chris
 John_Gonna, John Gonna
 LeonKyo, LeonKyo
 Delta11B, Delta_11B
 Nate-Dogg, GamerNate
 Shwaggins, Shwaggins
 Mikesunstrike, Tapio
 Karryy, Karryy
 phrack, phrack
 Vanyaeli, Vanyaeli
 Ninjabagel71, Ninjabagel71
 Wolverine13103, Wolverine13103
 SkyloomCZ, SkyloomCZ
 FireKat, FireKat
 norsemane, huscarl
 K_bear, Kbear
 Arcy1995, Arcanine
 Toarn, Toarn
 SubQuantic, Sub Quantic Sailor
 SpaceLeviathan, Crux
 AlchoDolphin, Alcoholic Dolphin
 robsilva, Rob Silva
 ZaDii, ZaDii
 Recalibrate923, Recalibrate
 max01rr, max01rr
 Moonsshadow, Moonsshadow
 Phipe, Phipe
 Korika01992, Korika01992
 K1TKAT, 82ndAB.K1TKAT
 BrandonZH, Brandon
 metinicus, metinicus
 BuddahBaker, TBE|BuddahBaker
 LiveLoa, Loa
 Kuroyuki, Kuroyuki
 Aerothieus, Aerothieus
 tiefling, tiefling
 Schotten, Schotten
 Tasmanian, Thomas
 Ripps, Ripps
 Avalair, Avalair
 ArnaudAmaury, Sandhill
 Jarlla, Jarlla
 Kaidence, Kaidence
 Elteras, Elteras
 AzureCounciler, AzureCounciler
 Manivo, Manivo
 Shambling, Shambles
 LenYcz, LenYcz
 Stumpydfm, StumpyMudman
 Grimlokk, Grim
 CobraGT, CobraGT
 Gelreth, Gelreth
 Menhyt, Menhyt
 jackuplink, Jack Uplink
 Bakinda, Bakinda
 Fuyuoshi, Fuyuoshi
 Sardonyx72, Sardonyx
 zickskill, Zickskillz
 mallkor, alphanero
 michel57, Michel
 Maniac2273, Maniac2273
 Riskii, Riskii
 Wyn, Wyn
 Foxkr, Foxkr
 Tursk7734, Tursk
 Yamon, Yamon
 momojaja, moja
 yepyep, yepyepitty
 Chomperino, Chomper
 SoulTetrahedron, Nefty
 Forman, Forman
 Darksyder, mike
 Lorisyu, Loris
 Skwady, Skwady
 Hristy, Hrist
 hexdot, hexdot
 Osaspin, Osaspin
 jealco, jealco
 Pheoniiix, Pheoniiix
 KalikusMarr, Kalikus Marr
 bowfinger, bowfinger
 Walking-Dead, william.cipher
 lyomyshkin, aryanjim
 Ramos97, Ramos97
 mecaenas, mecaenas
 Hartford, Tom Hartford
 Leccy, Leccy
 kiniku70, Chase
 Arzane, Arzane
 ucuri, Ucuri
 A3therCrux, A3therCrux
 The_Flying_Gecko, The Flying Gecko!!
 Sfoxor, Sfoxor
 BluePuttee, BluePuttee
 destinyTQ, ??
 clamliquor, Clam Liquor
 GreyheimCQ, Grey
 Zed32, Zed32
 Sepheris, Sepheris
 Drakia, Drakia
 RedTrick, RedTrick
 Kaalaxi, Kaalaxi
 RedMonk, RedMonk
 Spearen, Spearen
 ORINGER, ORINGER
 systematic93, -Systematic-
 Thaux, Thaux
 Synexe, Synexe
 Hardie1247, Hardie
 Mongreloid, Mongreloid
 JobraKai, JobraKai 
 Signaldown, Signaldown
 Banqor, Jimmy "Zero Pitch" Flymore
 Nico78, Nico78
 eyeballkid, Ace
 Cody281, CodyB
 Farts, Farts
 HandicapableDog, HandicapableDog
 SamayouKasheki, SamayouKasheki
 PhilLaws, PhilLaws
 Tenno1979, Tenno1979
 Goldenslam, Goldenslam
 DrA-ron, DoctorA-ron
 Grimform, Grimform
 Ekrod, Ekrod Daker
 Ancora, Shawn Ancora
 Zeregor, Zeregor
 marzis, Marzis
 fuJiin, fuJiin
 Eckle, Eckle
 Angel_Cor_Lux, Angel
 CrossHare, CROSS
 ZmanZimms, Legend of Divine
 Macca567, Macca
 PhilippLetz, Philipp
 Whipeout, Whipeout
 Krivak1979, Krivak1979
 MulanSzechuanSauce, MulanSzechuanSauce
 LtChromie, LtChromie
 darkxaura, Dark7aura
 nothingsoul86, Nothingsoul86
 Kaffi, Kaffi
 AceXY, AceXY
 Cennobite, Cenobite
 Masaa, ZDS
 cerdun, cerdun
 Goatgruff, Goat
 KnokTornekratt, KnokTornekratt
 Arunsun, Arunsun
 Wootemann, Wooteman
 Samjatin, Samjatin
 Mozas, NuVatix
 Skizot85, Skizot85
 Bitmanip, Bitmanip
 CosmicDan, CosmicDan
 Deladren, Deladren
 Ravionics, Ravionics
 Pownage, Pownage
 Cartheris, Carthoris
 Vaseli, StarBoy
 Ytch, Ytch
 DaveMedic, Dave
 GBobo, GBobo
 Akundis, Akundis
 FallenDrakken, FallenDrakken
 Mikester509, Mikester509
 Itrados, Itrados
 Spartan46, Spartan46
 Dystro, Dystro
 indiereborn, IndieReborn
 Ghostavo, Ghostavo
 keitoro, keitoro
 McHawkings, McHawkings
 LuciusGamez, LuciusGamez
 krulle, krulle
 Shannen, Shannen
 Arkma, Arkma
 Feyblue, Feyblue
 StrayFire, Manstor
 Morann, Morann
 Songbirds, Songbird
 Marshal_Glitcher, Chance
 Robo93, Robo93
 Neyala, Neyala
 Cpt_Bradley, Cpt.Bradley
 Ratafia, Ratafia
 Jack-son, Jackson
 MunchyUK, Munchy
 Galactis87, Galactiss
 XenoQuandry, Xeno
 zarkko, zarkko
 Nukman, Nukman
 Nemo-S-omeN, Admiral Nemo
 grillermaestro, grillermaestro
 Thomsen90, Thomsen
 CaptCody, CaptJoe
 HeranNa, HeranNa
 Haidric, Haidric
 LiamSkot, Liam Skot
 Medit, Medit
 Zodiaque, Zodiaque
 Novello5, Novello5
 Grantatus, Grant
 VikingHave, VikingHave
 Duskers, Xin
 corsair-22, Corsair22
 Vodark, Vodark
 jcgloomy, jcgloomy
 Ovonel, Ovonel
 MercatortheFirst, MercatortheFirst
 joebuss, KeenAssassin
 Minett, Minett
 Kobracritter, kobracritter
 KortezSVK, Kortez
 MoZeDK, Kevinsan
 Aktalik, Aktalik
 UncleGuspacho, UncleGuspacho
 cloint, cloint
 DAEFALCONER, Falcon
 Locktok123, Locktok123
 nicktorian_NZ, nicktorian_NZ
 Black1c3, Black Ice
 WarrenO, Warren
 Jim42, Jim42
 Dreadnought, Ironclad
 Neriss, Sshen
 Kazbok, Kazbok
 Hilk_sha, Hilk_sha
 wasd34, wasd34
 yamn, Yarn
 Cavid, Cavid
 Kerbe011, artan.gobe
 KiritoYagi, Gene Starwind
 Grandmaster, ThetrueHaQuer
 jrapley, jrapley
 Gerbic, Gerbic
 Echnaton96, Echnaton
 EchoReaper, EchoReaper
 cravencastle, cravencastle
 Zanctum, Zanctum
 DreadedWor, DreadedWorm
 Thrawn86, Thrawn
 EQUINOX007, EQUINOX
 Dengis777, Dengis
 MyJokerSide25, Joker
 The_Champ, curiouschamp
 metronade, nade
 Revo1202, Revo1202
 Fern, Fern
 DScream, DScream
 The_Postman_Pete, Postman
 melph, melph
 NuggNuggs, NuggNuggs
 Akrom11, Akrom11
 Skulk150, Skulk150
 atangleman, atangleman
 Alex253, Alex253
 PLR_2, PLR_2
 WarCheese, WarCheese
 Gants, Gants
 LvLcap, LvLcap
 Drenzul, Drenzul
 PLK50, PLK50
 f7nphantom, f7nphantom
 Methendis, Methendis
 Lunarfire, Lunarfire
 Myrodis, Myrodis
 Monroe_Kyreall, Monroe Kyreall
 Scorp454, Scorpion454r
 Kazanchi, Kazanchi
 Naptic, Naptic
 F1asK0, F1asK0
 John_Jervis, John Jervis
 Lari1904, Lari1904
 KanameChidori, KanameChidori
 Quagmire007, Quagmire
 Sukelie, Sukelie
 OddLore, OddLore
 CaptainSilver, Captain Long John Silver
 jcamp5182, jcamp5182
 Aomicman, Aomicman
 Grifgaren, Grifgaren
 PendragonDK, PendragonDK
 DantesRegent, Eklipse
 CocoBongo, CocoBongo
 OpenWorldGamesRyan, Open World Games Ryan
 DaleyC, DaleyC
 Tomasi, Thomas
 Adamf27, Adamf27
 SgtSpankey, Sgt Spankey
 Bash_Qc, BashQc
 AndDid, Did
 Billiam2013, Billiam
 Disc_Jockey, [ACESHIGH] Disc Jockey
 Hidden_Terrorz, Hidden Terrorz
 DrazrUno, Drazr
 Swordy89, Swordy89
 ePShadowSage, Dakin
 Michael09, SubMichael
 bigrudy, bigrudy
 zerobyte, Zerobyte
 charger1, charger
 Ontourus, Ontourus
 platypus422, platypus
 spieleman, spelemannen
 Nicoh, Nicoh
 MTGMAGPIE, MAGPIE
 Motrio, Motrio
 Lynxwalker, Lynx
 Pirk2, Pirk
 Pascoflyer, Pascoflyer
 Learz, Learz
 liamsguest, liamsguest
 LethalGhost23, Hack Jaws
 mad_duey, Mad Duey
 Kalipo85, Kalipo85
 Dadhi, Overblood
 Phanboi, Phanboi
 TKINGak6022043, TKINGak6022043
 Hooterr05, Hooterr
 Redteck, RedTeck
 Tairth, Unknown
 korthas, Korthas
 sazhnikov_sa, sazhnikov_sa
 Kawaiikiller12, Kawaiikiller12
 Konnor, Konnor
 Karckam, Karckam 
 Stehlik, Stehlik
 Alaxander, Alaxander
 rotoplooker, rotoplooker
 LeTOX59, LeTOX59
 Riho_Scylla, Riho_Scylla
 AndyWest, Jecht83
 Clarityy, Clarity
 Badnerific, Badnerific
 virigould, virigould
 nsiwheydyys, akins
 The_Albatross, The_Albatross
 xScorpius, Scorpius
 UnusualPi, UnusualPi
 FilleZ, FilleZ
 Akiller1984, Akiller1984
 chairbeat, chairbeat
 Vejinta, Vejinta
 Balez101, Blaez
 JohnnyRyall, JohnnyRyall
 Bianxa, Bianxa
 Jamp, Jamp
 nerfhurder, nerfhurder
 Crackalackin, Crackalackin
 Strahd47, Strahd
 TrapIord, R?uberRob
 estoc, estoc
 TwoolySpace, TwoolsBooles
 RazorScarface, RazorScarface
 Chessking, Chess
 krxllo, krxllo
 AP0LL0_C-A-G, Apollo
 Wavernky, Wavernky
 Vistareynn, Vistareynn
 Endtimes, Das
 Doccrazy, Doccrazy
 Kvist, Kvistan
 TheAccomplisher, TheAccomplisher
 JiiTee, JiiTee
 Kalmato5, Kalmato5
 jimjim91, JimJim91
 Grim_Black, Grim
 SatyridMass, SatyridMass
 doofkle3, doofkle3
 protoneo, protoneo
 Behrr, Bear
 Glokthar, Glokthar
 LeafAtlas, AtlasLeaf
 PR1NCIPES, PR1nCIPES
 Papageno, Papageno
 DoubleDHZ, DoubleDHZ
 AdamCarolan, Adam-Carolan 
 CMDR_Horner, Horner
 Miro7, Miro
 VeteranOfPsychicWars, PsyVeteran
 Omniport, Omniport
 Coercionpunx, Coercionpunx
 Eruyaean, Eruyaean
 Kuro_0merta, Kuro
 Metawarrior, Metawarrior
 Sutternalt, Sutternalt
 Lechaim, Lechaim
 H3ndi, Hendi
 BckstCynic, Ceadus Vyvense
 SpaceDuke, Valhalla
 atomicdee, atomicdee
 shinhito, ShinHito
 Zeawyr, Zeawyr
 Osmotic, Osmotic
 Ryntogene, Ryntogene
 Flixified, Flixified
 Chadset, Chadset
 Condran, Condran
 Dash_Harik, Dash Harik
 InquisitorEisenhorn, Inquisitor Eisenhorn
 Bahamutxz, Bahamutxz
 supersonictuna, supersonictuna
 A2_Lucifer, Lucifervivo666
 UnkleFester, UnkleFester
 KuroDarkLight, Kuro
 leonkevlar, LeonKevlar
 ArcherJ, ArcherJ
 Rahl1, Rahl
 Jonlord, Starlord
 RePeteOffender, Pete
 gylvanofborg, gylvanofborg
 Scootypuff, Scootypuff
 NotSoSilent, NotSoSilent
 OmniSpriS12, OmniSpri_S12
 Aivas, Antrax
 Varyushka, Varyushka
 BloodKage, BloodKage
 Nyorotchi, Nyorotchi
 Goshyn, Goshyn
 Vergrimm, Vergrimm
 Androidious, Droid
 Xeraro, Xeraro
 Bahccus, Bahccus
 Explorer75, Explorer75
 Slikk, Slikk
 Zann5, zann5
 Korbus, Korbus
 Zweebo, Zweebo
 Shaddixxx, Shaddix
 tuxford, Tuxford Lankershim
 StickyMouse, StickyMouse
 Nelson86, Nelson
 CMDBlackjack, DrakeBlackjack
 TotallyNotEvil, Melkor
 Okami_ES7, Okami
 BoizzNoizz, BoizzNoizz
 OnceForLife, OnceForLife
 iamRobbieK, iamRobbieK
 Arngrim7, Arngrim
 Sohlo, Sohlo
 Celanis, Celanis
 jetfireF, jetfire
 rtakumi, RTakumi
 Deepdragon, Peter
 Axxo, Axxo
 zephiaz12, zephiaz
 Lagover, Lagover
 Juiceman, Juiceman
 spartan0119, spartan 
 legomanat1, timothy
 s_overeign, Sovereign
 digalhellfire, digalhellfire
 Duckydude, Ducky
 Lionheartxray, Lionheartxray
 L1ttle3agle, Eagle
 Oshano, Brate
 Perilax, Perilax
 Odin_Nex, Odin Nex
 Logixor, Logixor
 InsidiousAnger, Insidious_Anger
 Nitronik, Nitronik
 B45H3R, B45H3R
 IgorPet, IgorPetrovichik
 Toobz, Toobz
 LionessWings, LionessWings
 Wilrana, Wilrana
 davidself1001, davidself1001
 Cylentdeth, Cylentdeth
 nopoe, nopoe
 Yachiri, Yachiri
 Karisma, Karisma
 HuskyRain, Husky
 ScheduledTiger, ScheduledTiger
 Riino, Riino Jaxx
 DeadMatter, Dead Star
 Haumk, Joaquim G. Haumk
 deathwing86, deathwing
 Kaydien, Kaydien
 Nauv, Hapmus
 TWISTED90, TWISTED90
 Sherkan96, Sherkan
 Artorious, Casanova
 gabriel_8904, gabriel_8904
 Llamashaver, Llamashaver
 Fitty2, Fitty
 renobob, renobob
 KooKess, KooKess
 ShanHa, ShanHa
 5awyer, tom5awyer
 Xpertize, Xpertize
 Freecss, Pangaea
 DRoberts, Roberts
 Anti-Pax, antipax
 Martial21, Martial21
 KeTi, KeranoTide
 Gilthoniel, Malcator
 Vicopro, Vicopro
 FabuStriker, FabuStriker
 neomatrix286, neo286
 sigint-usmc, Sigint-Marine
 AntmansBigXmas, AntmansBigXmas
 AtomF, Atom Fullerene
 Josh0815, Josh
 Bookerti, Bookerti
 Hydrochloric, Hydrochloric
 OneManDP, OneManDP
 Mohel, Mohel
 CaptainJones, Captain Jones
 Gumme, Gumme
 W34513, W34513
 Irdosh, Irdosh
 skrott, timbe
 Fauthen, Fauthen
 EndlessVoid, EndlessVoid
 AcefireEU, AcefireEU
 korica, korica
 KLP3, Kelpie30
 InquisitorMaus, InquisitorMaus
 Vincent999, Death parade
 Selyrion, Selyrion
 Sam_Riley, Sam Riley
 FunkmanRon, Chief
 Redraid, Redraid
 MontGuiscard, Giltheron
 parasoc, parasoc
 allanberg79, allanberg
 nionus, nionus97
 Czyler, Czyler
 CellularTheory, CellularTheory
 Ronin_GER, Ronin
 zeldaguru, Ceallach
 Thamis, Thamis Aeson
 Fatalmalfunction1, Fatalmalfunction
 Biwacker, IonToka
 BombingParadise, BombingParadise
 iggle3, iggle3
 Ackeburning, Ackeburning
 giffen, giffen
 Anruckbar, Darth Revan
 fallouthirteen, fallouthirteen
 Riepers, Riepers
 Reesta, Reesta
 Captain_Hawk, Aaron Hawk
 Drunya89, Andrey
 Antworks, Antworks
 Xentron, Xentron
 Star_Heretic, Star Heretic
 GrimmJow21, GrimmJow21
 MDRaven, MD Raven
 Eaglepig, Eaglepig
 Vindariel, Vindariel
 JCmeRollin, JCme
 MrShuji, Shuji
 DeathMade, DeathMade
 Hamsterdrive, Hamsterdrive
 Derzuel-Ironheart, Derzuel the Ironheart
 Kirrill, MIrmulnir
 Pece, Ipno
 alexx_nl, alex_nl
 Koka89, Koka89
 kilvipe, killer101viper
 Befagor, Befagor
 Vaginamite, Vaginamite
 Touo, Touo
 Morbusx, Morbusx
 tevarin, tevarin
 BHBigblue82, -Bigblue82-
 Catlas, Catlas
 uhstarfruit, Starfruit 
 Flightfox, Flightfox
 AlphaProphete, AlphaProphete
 Bosoa1, Bosoa1
 Hoolyo, Hoolyo
 ZeMuffin, ZeMuffin
 AkaEarth, Atreide
 Deloract, Deloract
 ledefolo, LedeFolo
 Reventrant, Reventrant
 Vilify, Vilify_13
 mdlair, Doragon
 astrowill, AstroWill
 buzziduts, buzziduts
 xXRAGEMANXx, xXRAGEMANXx
 carvalho, carvalho
 LumiYue, Lumi Yue
 Perpetuitas, Perpetuitas
 PsyV, psyvortex
 pbandjelly, pbandjelly
 Vahn, Vahn
 Waygard, Waygard
 Blitz45, Wrecker
 Zanyz, Zanyz
 Warriorhaven, Warriorhaven
 Takeru, Ryu Takeru
 Mahskunk, Nicolas Mahdeel 
 todda7, todda7
 Kneggi91, Kneggi91
 Oibe, Oibe
 Gorgul25, Gorgul
 ghostD0C, ghostD0C
 Schroding3r, The Doctor
 IcaroSP, IcaroSP
 Govi, Govi-web
 Koorime, Koorime
 kajo99, kajo
 AureliusTratos, AureliusTratos
 Neches, Neches
 capocacola, capocacola
 Cycloneon, Kilo Five
 Far30, Far30
 SaltyRumRunner, SaltyRumRunner
 Mikahsan, Mikah 
 ghost_niner, ghostniner
 Yugs, Yugs
 LooneyDav, Looney Dav
 Rapto192, Rapto192
 ariethebobo, ariethebobo
 Anubiss, Elvy
 Psec, Drateal
 marineTek1, marineTek1
 SatyaAgraha, Satya Agraha
 Luskenai, Luskenai
 Mukawa, Mukawa
 Javter, Javter
 bulletsp0nge, bulletsp0nge
 asbjun, AsbestosJungle0!
 Ahkisi1, Ahki
 FenderX1, FenderX1
 EyesofSteel, VC
 Kathkira, Kathkira
 Manegarm75, Manegarm
 Elitebierkasten, Ich bin Elitebierkasten!
 Baragoon, Baragoon
 William_The_Gonnagle, William_The_Gonnagle
 pstn, pstn
 BrockLi, Brock Li
 Sparda1986, Sparda1986
 ZiltoidTO, Ziltoid
 Wolf8472, Wolf8472
 AngrySkull, Angry Skull
 VillSyd, Steven J
 Mojoy, Mojoy
 Fredek, Fredek Stark
 DonkElivis, DonkElivis
 lapra, lapra
 Dropwater, Dropwater
 Loba, Loba
 KingMild, Dest
 borislumix, Lumix
 BuhDan, BuhDan
 ethanville, ethanville
 Kraky, Kraky
 Cornelius, Cornelius
 Emarie, Emarie
 Ventral, Ventral
 atobias, Dr. Tobias F?nke
 TickTockCow, Tick Tock Cow
 WardenAlpha, Warden
 Droogan, Droogan
 Shiftmasterz, Shiftmasterz
 Shermantle, Shermantle
 Barragwanas, Barragwanas
 n2lorakle, N2L- The Orakle
 Vanderweird, Vanderweird
 Nighto, Nighto
 MishaXG, MishaXG
 Niekos556, Niekos556
 Markus1, Mark
 avrina, Avrina
 schachterle, AdamS
 Frond, Frond
 RossyRossy, Red Ross
 maxwellsmart86, Jack
 Makkezzo, Makkezzo
 angular, Angular Rocket
 Brendan93, BrendanD93
 Sokoh, Sokoh_
 Thaddiun, Jay
 warlord4523, warlord4523
 XtraChrisP, XtraChrisP
 Miker2898, miker2898
 Ricardo268,  Ricardo268
 brainrat, Val
 Khandre, Sabbra
 Hera_Vertigo, Hera_Vertigo
 Caharin, Caharin
 Galacticeagle, Galacticeagle
 Detti, Detti
 Daeyis, Daeyis
 BlinderHunter, BlinderHunter
 HarbingerODeath, HarbingerODeath
 Dannikin, Danikinn
 Dumuzi, Dumuzi
 JonhyBee, JonhyBee
 kslink, Kyle
 Krotukk, Krotukk
 ElCattivo, El Cattivo
 Ezen917, Ezen917
 Danni2hats, Danni2Hats
 florisheld, florisheld
 abianeczek, abianeczek
 Steviek765, Steviek765
 Iniahk, Iniahk
 Stubbins88, Stubbins88
 NeverEndingSearch, Cornelius
 taire, taire
 Atricoss, Albatraoz
 Zytro, Zytro
 excali, excali
 pentaduke, Dan
 DangerWayne, DangerWayne
 Sundoro, Sundoro 
 MeltaReactor92, MeltaReactor92
 DeviousMethods, DeviousMethods
 Solotion, Solotion
 Baricevich, Baricevich
 TheRatfink, Ratfink
 Bubblyboo, Bubblyboo
 Chapel_Evergreen, Chapel_Evergreen
 CanadianEgg, CanadianEgg
 lix_raden, Lix Raden
 hanny_nl, hanny_nl
 FullBlue, Full Blue
 RealLightning, RealLightning
 Odin-239, Jamie
 DrTritium, Dr. Tritium
 Iorexian_llc, Iorex
 funz, funzie
 Rvedar, Rawbezerox
 Lacerta, Pete
 Kilabil, Eureka
 Syev, Sev
 Boltn, Boltn
 bhero, bhero
 soraxin, Soraxin
 IsaacWheeler, Isaac Wheeler
 Mentron, Mentron
 luludust, luludust
 CruncherEDM, Cruncher
 WildRider, WildRider
 0nion, 0nion
 Kilrathi_Shogun, Kilrathi Shogun
 dsp5500, Robert B
 cix88, cix88
 Captain_Angle, Captain Triangle
 Hojlind, Hojlind
 m1030, Mantra
 Davenine, Davenine
 jaroe, jaroe
 b3ck1, b3ck1
 Slightly_Nuclear, Slightly Nuclear
 Ozydude1, Ozy
 Delarosa, Thorn Delarosa
 Conzenite, Conzenite
 RedGabe, Agustus Ortelius
 spooser, spence
 juliusmaximus19, juliusmaximus19
 OrionOth, OrionOth
 Reinhart_x, Reinhart_x
 CmdrLucky, CmdrLucky
 jerried, Dube
 Nickelboerni, Nickelboerni
 Hanz_S, Hanz_Shnovel
 Xrite, Nodice
 TL2001, TonyLi
 chemicalbro, chemicalbro
 Kirk-501, Kirk-501
 JerryLi, JerryLi
 LootwigXIV, LootwigXIV
 Putte86, Putte86
 KusKus123, KusKus123
 GreatSif, GreatSif
 Stoik, Stoik
 KingdomKIA, KingdomKIA
 MadKauz, MadKauz
 Rupprecht, Rupp
 oea, oea
 Kommestoi, Hermann
 mecenzus, Mecenzus
 hschultz, Hans Schultz
 Deonly, Deonly
 OneJibmoNation, OneJibmoNation
 Bluestar1, Blue Star 1
 PaleRider0311, PaleRider0311
 Bristlecone, Bristlecone
 FierceZoe, PewDiePie
 Robert17, Old Man
 imDeus, Deus
 SamuraiOni, SamuraiOni
 arroganttony, arroganttony
 Klaum, Klaum
 Djakninn, Dj?kninn
 FlynnBecker, FlynnBecker
 benfork, BenFork
 Confusedman, Confusedman
 Rockjockey, LoganGrimnar
 Cadmiae, Heyi Hayo
 EngelRot, EngelRot
 RWade, Roland Wade
 Greystone2731, Jackson
 Miramac, Big Mac
 Space_Hamster, Spacehamster
 RaxitHunter, RaxitHunter
 Quasar243, Quasar243
 ChristopherBolte, CBolte
 Tryptamean, Tryptamean
 Percep, Percepius
 WarTurb, WarTurb
 beamishx, beam
 captain_nick, Captain Nick
 darkp1xel, DarkPixel
 Galago, Rock
 K0l0s, KoLo$
 frankclan, Mordekai Goss
 Castlefield, Castlefield
 SkwetGall, SkwetGall
 RoberthCooper, Roberth Cooper
 aspieragus, Aspieragus
 bernspike, bernspike
 MaydayDovahkiin, MaydayDovah
 TitanFallout, TitanFallout
 Yie, Yier
 Sphocus, Sphocus
 TristramTorjborn, TristramTorjborn
 Skyhound, Roe
 Raiden_208, Raiden
 rustydog41, Mithrandir
 Cychosis, Cychosis
 TRasus, TRasus
 Wilsack, Wilsack
 NATOFOX, NATO
 Arclit, Arclit
 Lahha, Master Lahha
 simplyterrell, simplyterrell
 zendragon, Zendragon
 Supreme_Being, Supreme Being
 erierik89, erierik89
 solarbloak, Solarbloak
 DC1989, DC
 PhilMcphillips, Phil
 vincentoviz, VinceThePrince
 Exince, Kane
 Charles-Murray, Deadisation
 Kinmeister, Kinmeister
 Nomad5, Reven
 pandengrich112, pandengrich112
 IWM, IronWilliam
 TriDemp, TriDemp
 XatalPL, Xata
 Hulsi88, Hulsi88
 xNechtaiNx, xNechtaiNx
 joethompson1995, joel14331
 saberlaser, cigmax
 Foreveromega, Foreveromega
 Zenzei, Zenzei
 NMeyer, NMeyer
 Zycho8, Zycho
 Vyper54, Vyper
 Magnix, Magnix
 Ankgor, Ankgor
 allantang13, allantang13
 Seanslayer87, Soulreaper87
 WhiskeePete, WhiskeePete
 liquidcaliber, liquidcaliber
 DarkAtlas, DarkAtlas
 grayfoxCode, grayfoxCode
 Tomahoke, Tomahoke
 Brittlz, Bllizz
 Lyrut, Lyrut
 traviswalls, Travis Walls
 JulienBZH35, Julien Martin
 PhoenixMoreno7, PhoenixMoreno7
 Kreytose, Kreytose
 pyrohicko, pyrohicko
 T-Sweezy, T-Sweezy
 Haxta, Haxta
 HeatBurns, Heat Burns
 ifu, ifuri
 heightUser, heightUser
 Liquidpinky, Liquidpinky
 BishopMew, BishopMew
 T3SLAR, T3SLAR
 Mzgario1, Mzgario1
 darkares1, darkares1
 DDom23, DDom23
 avistronRL, avistronRL
 DoctorPeck, Doctor Avery Peck
 Shinj151, Shinj151
 Adazx, Adazx
 TallTalon, TallTalon
 Smalldog, Smalldog
 Hazard1, Hazard1
 Thels, Thels
 Elyllon, Elyllon
 paulykhoo, paulykhoo
 Hudinchen, Hudi
 Fender, Fender Saxbey
 Ricardos, Ricardos
 Admiral_Knight, Admiral Knight
 Tektolnes, Tektolnes
 Fatali1y, Impulse
 qlock, qlock
 cyph3x, cyph3x
 EnchantedSorrow, Enchanted Sorrow
 Toolatetoplay, Toolatetoplay
 Ronald_Speirs, Spearhead
 Pioneerus, Pioneerus
 Kalamari, Kalamari
 doctorpepper, doctorpepper
 MyleSwi, MyleSwi
 SPEC-BattleBuddy12b, [MATADORS] SPEC-BattleBuddy12b
 SqueakyDuck, SqueakyDuck
 DorianGrayish, Dorian Grayish
 benjohnson, BortNort
 Shmoe, Shmoe
 Marlmasters, Markmasters
 Recorsi, Recorsi
 Tailranger, Tailranger
 MadMandrake, MadMandrake
 GwaihirScout, GwaihirScout
 DemonicBladeX14, DemonicBladeX14
 Spatius, Spatius
 involucra, involucra
 Alonky, Alonky
 Brapp, Brapp
 Borokar88, Borokar
 ConstantineTheGreat, Constantine The Great
 Shephard7, [SUN] Shephard
 Koozzo, Koozzo
 Zoun12, Zoun12
 snusnu, snusnu
 aeropaco6, aeropaco6
 Chinaplate, Chinaplate
 Iniwich, Melorn
 Corraz, Corraz
 Volbros, Volbros
 Belduin, Belduin
 cdye12, cdye12
 Zelgato, Zel
 LunaRaven, Kayo
 Lunarspy1211, Lunar
 Monomono, Mono
 Salmoneus, Salmoneus
 Leptoner, Leptoner
 copperpot07, RaBaKnOw
 Dustxr, Dustxr
 Raggnare, Ragnar
 Jacobdk, Jacob
 Diedo, Diedo
 RainerZufall, RainerZufall
 Calaheim, Calaheim Koraka
 Keither, MattC
 RoninWanderer, William Cutcher
 Zonti, Horizontigo
 Aranes, Aranes
 RogueSnowball, Rogue Snowball
 ZER0TheFool, ZER0TheFool
 c-54, Woods
 Space_Fly, AchillesPaul
 Vespertilius, Vesper
 jehed, Jehed
 Kelindriel, Kelindriel
 aLIEz, stay night
 CaffeineHound, Loki
 jarheadhell, jarheadsparrow
 Articuler, Articuler
 Zouran, Zouran
 LeetaX, Leeta
 KIRKO, KIRKO
 Ioria, Drakorius
 VonkenStein, VonkenStein
 FALEX05, FALEX05
 Hooja, Hooja
 Friedolf, Friedolf
 Zaknafein, Zaknafein
 Antihelix, Antihelix
